a-SiWvl,a-SiSR,m-SiWvl,m-SiSR
328.00659849711800,0.005705560569344020,347.19493887451900,-0.0008045028799366080
328.85540961413300,0.024617147603001200,353.58451795624100,-0.00023008551676484400
330.26975080666700,0.03125345662660530,359.97383653122200,0.0004537446774873780
331.5257809555240,0.049856242977671100,366.6167746999150,0.0013752058642421100
331.9485213702130,0.05822371948791110,369.5895234274080,0.009692692854889610
332.28916649697800,0.07783141059110170,370.4414923340500,0.020763501446777000
333.62846421409300,0.08470162460935520,371.8330151399990,0.030100974805892200
332.36044765389400,0.007223663600583910,372.88181527792600,0.03900467187845370
334.786982777546,0.10493037380178700,371.76789496750100,0.000513921734581535
333.77031013438600,0.02512633808610580,374.23202605658500,0.04739184921095660
335.8882299360130,0.11167188747066100,375.3637095153260,0.055472768306462200
334.3369774220230,0.031144043795524900,376.0065192017360,0.06437037603396060
336.99382054340500,0.1353597653995560,373.89443754224400,0.010232516455293400
338.013053166267,0.12876764232696500,375.03586736448400,0.018867924148309800
335.739496868763,0.05213079245712420,376.25428902354700,0.030026469878061300
336.3056268612470,0.0583741621306465,375.0223991659910,0.024524567515163900
337.25596268750100,0.07948627966119190,378.96484305256800,0.0768239007715702
340.5931398372740,0.15747288008111600,377.5408090053830,0.04047148764512450
339.38970103732400,0.10516182402138000,378.59505373419000,0.04912193960241460
341.5717054971550,0.16479181696017000,379.59456599678300,0.056358230717991200
338.85312227823500,0.08650693632218100,380.34185997484100,0.06785204862298170
339.95636832496100,0.11117952973079900,379.8709506232950,0.06228567084176900
341.6348783817670,0.13825920542318500,383.9561360836100,0.08513578894240840
341.53773541817200,0.130255656829658,382.45354932358700,0.07567506604522650
344.3291923330100,0.18367518439486100,389.77898665990300,0.09496933497605150
346.15623337279200,0.1914338413282350,387.66674509114000,0.08229454232558750
345.0734240798710,0.15817781132136300,394.9536272360080,0.10107838086141700
346.22008357493000,0.16461675643044100,394.899334840109,0.0948314292202107
349.32430947979000,0.21011769124742600,398.57413167503600,0.10882554485035000
350.74154276865100,0.21774762720305800,400.9097094556680,0.1163948746789630
349.391596838512,0.1857717273198270,398.951376083374,0.1010998726675220
353.103059632332,0.2368421200271340,403.13102066114100,0.1234943346290040
351.6733428166760,0.1924185568079580,403.3832253000850,0.11052761161227900
355.24748134291600,0.24253744864497700,405.4543936394030,0.13028574535820500
353.66190799622400,0.21128406420698700,405.30220478742200,0.1179494486538960
357.7076730702290,0.2632504928347090,408.4835492859450,0.1374401288127370
357.86214718247600,0.23664869377218800,408.09327400693300,0.1251205479576200
360.00977560698600,0.2700469604594640,411.3035677692820,0.1443145217932880
359.39327120897,0.24429118002315100,410.4038819610740,0.1307370732864120
363.07827136571400,0.2891294219853860,414.7353614583010,0.15181784859972000
362.54270435539100,0.2636280743694170,411.9424564803510,0.13525035256847600
365.0778148477490,0.29696251690523,414.536875674001,0.14367514056166300
364.2693321780880,0.27049828838767100,418.2051240047720,0.15862537818350100
368.0538481949140,0.3159219369842700,418.00636957289600,0.15059550212749500
367.68131921398000,0.2904798066637190,421.7126763103110,0.16481233186599700
369.6635150037190,0.3231121835334330,424.6022496411370,0.17128136550362300
372.02480392400200,0.34230241258470400,421.18536589260400,0.1575158636933270
370.01516654027800,0.29742752143732100,428.0381336211960,0.17886101982732500
374.1689697797510,0.34810520023307300,427.8360052918170,0.17045393096857800
372.6545394283640,0.317474003581824,432.0190060830020,0.18631235542634100
376.7528079545760,0.36872061824474500,431.5938475892880,0.17827694839082300
374.60151796309900,0.32330365598782400,435.5526830484380,0.193189575351977
377.17172305520400,0.3418983666299290,435.3531226738330,0.18549819524212600
378.3152304187010,0.3496612069950800,439.0268098011240,0.199958388079171
380.88894583913700,0.3739585787535810,438.5335517806150,0.1918167862370160
384.93585292872100,0.37520636773156400,442.452582623874,0.2081962289648410
387.8956328261570,0.3928583044791930,442.58165285942700,0.19974009875441800
390.9454992108510,0.39809245475769800,446.35983774837200,0.21427035066528600
392.6236152512110,0.3917851469610130,445.7608879769810,0.20656016522509300
395.95672467701100,0.4186665923476780,449.46741858737600,0.2206829683118860
395.044738848301,0.3997886955545410,452.35555913112900,0.22775377252045300
400.6057760862660,0.4229933986061830,452.4115273761940,0.21949823250034400
400.00361491027700,0.41561526157031300,456.3138821699020,0.23440876998034900
404.2846871672680,0.42329786585933800,456.74893204496500,0.22792302049353100
407.3091487175230,0.4396642018417740,460.3648090232200,0.24114525720506000
411.65303349146800,0.4465997596341450,460.2230825018500,0.23288762770380100
412.1472017531770,0.4396860844079900,466.4503658841360,0.2461676100761790
416.1351496546800,0.44847193474374200,463.39957144417900,0.24086108776878200
419.72280371255700,0.46676952116644400,470.79852159754000,0.2541633846001290
424.14259363806400,0.4710947471450890,470.06776248504500,0.24642746554999400
423.6497596593170,0.46456929751643800,474.8414906173900,0.261388150577578
430.04321377880700,0.4906293064080610,474.1171769520080,0.2537991550440330
428.27909469434900,0.47239231493868300,478.55706171622300,0.2679858962539880
433.54893331088100,0.49589145573396400,479.22995822548100,0.2619230577517490
434.5334490687690,0.48909144828232100,483.7936238529690,0.2740874200072170
439.3000085834350,0.515834840420357,489.60482369817200,0.2820139888588770
437.51609385992300,0.49714012966866900,488.30313012907300,0.27413900034186900
443.9297672443660,0.5197025670620770,493.97347768287800,0.2897106988217130
442.9997878870930,0.5121593201684280,493.2219597923400,0.28238325716377400
447.9150833422440,0.521887944398655,497.0931514671950,0.2968257508663800
450.99913644792300,0.5399764597957910,498.72063838432100,0.29110893044243100
455.8472910793950,0.5456077344032820,502.31679748332400,0.3029294238002190
455.91015461225300,0.5395398811462850,508.711137015605,0.30995529059602100
461.3379102440880,0.564496643991181,507.117248231726,0.3027933090282200
460.63823255644500,0.5465605378072740,513.0535238757910,0.31751997216710400
464.9377986211340,0.5708775395148810,512.3292500100510,0.3099142607843660
465.82592471408600,0.5638915302504010,516.5894433754070,0.3236546888208730
471.2166891549420,0.5892331509408310,518.5986486487450,0.3202948031331140
469.29405746526100,0.5713835738586270,520.7345162793590,0.33016384049656200
475.5315168921040,0.5951785851846220,520.7210839005430,0.32360454127329500
476.3673093517460,0.5898378713675130,526.1796802741390,0.3369638479482050
482.64240753313700,0.6133747703162650,523.610299034601,0.3302240175536560
480.5650769802960,0.5959057246245100,532.4324807568640,0.3432767077948010
487.26927622261800,0.6184562849671760,529.4052063540640,0.3365426085485460
486.6316765486040,0.6101225543630130,538.8084514626570,0.34956664304821700
491.0834534455310,0.6193145998341510,535.7803924383640,0.34316208482890700
494.28035164373100,0.6376953476065880,545.1838422308240,0.356100152104158
499.98606796785800,0.6408044955564540,542.1555785226640,0.34978156110926800
498.0210084562470,0.6337570935367570,551.5600858484410,0.362275464391681
503.9872054703670,0.6413394027306250,548.5321973940380,0.355799266818687
