wvls,ingap_qe,ingaas_qe,ge_qe
290.00000000000006,2.174920189183174e-06,9.672225017313155e-16,0.0007401189195155418
292.6878130217029,2.8897427975990176e-06,9.7515883986598e-18,7.461918075992762e-06
295.3756260434057,3.792910942589785e-06,2.384526596031455e-19,1.824640393002789e-07
298.0634390651086,4.918771448693016e-06,1.8968101030741978e-20,1.4514396030906269e-08
300.7512520868114,6.754371495763616e-06,3.531016665977057e-21,2.7019349063213344e-09
303.4390651085142,1.0842051091687844e-05,6.3565514332620525e-22,4.864033782528168e-10
306.1268781302171,1.723070628469282e-05,2.8684805294729896e-22,2.194962074689278e-10
308.81469115191993,2.7238081524004062e-05,1.3373007939497306e-22,1.0233040108242209e-10
311.50250417362275,4.5138769978484496e-05,6.440140065789637e-23,4.928002239863511e-11
314.1903171953256,7.781321091919255e-05,4.3373724592195644e-23,3.3189583068692195e-11
316.87813021702846,0.00013390314329904653,3.200545705757157e-23,2.449063074936395e-11
319.5659432387313,0.00023149538809013391,2.679067208648e-23,2.050020801991324e-11
322.2537562604341,0.00036906537878714414,2.385687116076017e-23,1.8255228928897185e-11
324.941569282137,0.0005827978847695566,1.8586685413173322e-23,1.422250432589002e-11
327.6293823038398,0.0009243161556194945,1.370100426361464e-23,1.0483659418175048e-11
330.3171953255426,0.0014677123333332268,1.1511999153927504e-23,8.808139426166817e-12
333.00500834724545,0.002306972484278343,1.1810158442694638e-23,9.035179038948073e-12
335.6928213689483,0.0036211305058195128,1.1471024660736464e-23,8.773239862451178e-12
338.38063439065115,0.005655985361865552,1.1091365136496058e-23,8.476885039364421e-12
341.068447412354,0.008724587386738966,1.0533151417124654e-23,8.037121530995935e-12
343.7562604340568,0.013222263893856017,1.0946429998875878e-23,8.322246158173195e-12
346.4440734557597,0.019937871793997263,1.0217120215620303e-23,7.67653192974938e-12
349.1318864774625,0.029924023752576943,1.0788406480212833e-23,7.888290580308058e-12
351.8196994991653,0.044137866936191775,1.039572637884264e-23,7.027229870541913e-12
354.50751252086815,0.06460872995012223,1.0802798678549323e-23,5.956652596878611e-12
357.195325542571,0.0938791076597113,1.8292526019611258e-23,7.879362931936704e-12
359.88313856427385,0.1340237374433828,2.8941287786289334e-23,6.076593583436071e-12
362.5709515859767,0.16568813778613653,6.097187179088263e-23,6.062824554638039e-12
365.25876460767955,0.20204319929401937,2.6690747918138666e-22,5.389371826885535e-12
367.9465776293824,0.24353380168973549,1.2768539751927767e-21,5.222663436391701e-12
370.6343906510852,0.2824452258152976,5.7533839449310414e-21,5.082868583086347e-12
373.322203672788,0.2983966259206259,2.3192975218086704e-20,5.968780770946701e-12
376.01001669449084,0.3151914078755243,9.166240132098737e-20,5.091434837361376e-12
378.6978297161937,0.3347294291852275,6.73310076631697e-19,4.271024785277999e-12
381.38564273789655,0.35269549844645876,5.615314925720617e-18,4.7987093129619584e-12
384.07345575959937,0.3688417629603483,4.47260043642859e-17,6.405256216542124e-12
386.76126878130225,0.38775463940288796,9.829812255687453e-16,5.1471655331061325e-12
389.4490818030051,0.4084024891672485,3.912702338277343e-14,4.408772271083157e-12
392.1368948247079,0.4257458755662667,4.001601748163087e-13,4.3408310945141604e-12
394.8247078464107,0.44264538345669907,3.318470298647065e-12,4.2795766155200456e-12
397.51252086811354,0.4581459513322798,2.1030772141817105e-11,5.115833408662537e-12
400.2003338898164,0.4734066163011007,1.2644534613521885e-10,2.872568844192982e-12
402.88814691151924,0.4875342374136599,5.390388139328444e-10,2.748313117312358e-12
405.5759599332221,0.5011693838801456,2.2506505796275805e-09,2.8060503722186928e-12
408.26377295492495,0.5143805266836913,9.204963634214561e-09,2.69876923038109e-12
410.95158597662777,0.526686338164278,2.3053135679644045e-08,2.691104711044668e-12
413.6393989983306,0.5380583334803523,5.121302387088752e-08,2.626125512254846e-12
416.3272120200334,0.5491937322072374,1.1249759856412777e-07,2.477192227531365e-12
419.0150250417363,0.5597187052436193,2.443549492876087e-07,2.517458848461141e-12
421.7028380634391,0.5698321188603328,5.245741377821027e-07,2.423886303395993e-12
424.390651085142,0.5797932074542096,1.0671228288156084e-06,2.4816491615212478e-12
427.0784641068448,0.5892414981494335,1.8115076618917856e-06,2.5771961369990017e-12
429.76627712854764,0.5986102911736703,3.181268703399473e-06,3.2435931920890705e-12
432.45409015025047,0.6074117140743047,5.48161140017405e-06,2.3348824106403946e-12
435.14190317195323,0.6161223701789255,9.27490418663822e-06,2.3510510323830114e-12
437.82971619365605,0.6244340060190271,1.45052762943469e-05,2.3543256058346804e-12
440.517529215359,0.6325409627269077,2.1475635571373814e-05,2.1872997650596547e-12
443.20534223706176,0.6404846119398615,3.160416908404213e-05,2.026678739002785e-12
445.8931552587647,0.6484374864052765,4.6262074616428364e-05,2.1826374381756747e-12
448.5809682804675,0.6557580370038978,6.731486044755458e-05,1.9115990609822014e-12
451.2687813021703,0.6631945097335967,9.791656039985749e-05,1.7900098565359188e-12
453.9565943238731,0.6704275542240941,0.0001384631158421346,1.8606699541890284e-12
456.6444073455759,0.6775761996885513,0.00017046444015325827,1.7890243308708185e-12
459.33222036727875,0.6847075479015435,0.00020917454761876805,1.8306688201090095e-12
462.02003338898163,0.6918283016134977,0.0002542259536262457,1.7495763834172904e-12
464.70784641068457,0.6987146157690279,0.00030796121486302444,1.8038538929232827e-12
467.39565943238733,0.7060161766146209,0.0003711895871943799,1.8143477932171555e-12
470.08347245409016,0.7131893667382891,0.0004447871783652342,1.8195536627408775e-12
472.771285475793,0.7199711383011834,0.0005316364697634409,1.7462663912401986e-12
