wavelength [nm], crossSection 10^-19 [cm2]
203.7233750333201, 3.989536729686823
204.74236587114663, 4.517794775580891
204.7295368498071, 4.442329340453167
204.71212603513197, 4.339911964208399
205.36915519945, 4.560917881368162
205.66422269025946, 4.47467166979362
205.65872453825682, 4.442329340453167
206.25619038921263, 4.312960023091355
206.87015069617644, 4.2806176937509015
207.17071633898857, 4.226713811516813
206.85548895750267, 4.19437148217636
208.164049134136, 4.604040987155432
208.1457219607938, 4.4962332226872554
208.13839109145692, 4.453110116899985
208.13106022212003, 4.4099870111127135
208.11273304877784, 4.3021792466445365
208.10723489677517, 4.269836917304083
209.15005105994655, 4.938245057006782
209.14272019060968, 4.895121951219512
209.13538932127278, 4.851998845432241
209.12805845193589, 4.80887573964497
209.12164394126614, 4.771143022081107
208.80550020111312, 4.733410304517246
208.79816933177625, 4.690287198729974
208.79267117977358, 4.657944869389522
210.04075168437762, 4.71184875162361
210.03525353237495, 4.679506422283158
210.92595415680603, 4.453110116899985
210.9186232874692, 4.4099870111127135
210.9112924181323, 4.366863905325443
210.9039615487954, 4.3237407995381725
210.89663067945853, 4.2806176937509015
211.2008617569391, 4.248275364410448
212.55890530159638, 4.9490258334536
212.55157443225949, 4.905902727666329
212.54424356292262, 4.862779621879058
212.53691269358575, 4.819656516091787
212.52958182424885, 4.776533410304516
212.52225095491195, 4.733410304517246
212.5167528029093, 4.701067975176793
212.50025834690132, 4.604040987155432
212.49292747756445, 4.560917881368162
212.48742932556178, 4.528575552027709
213.23334528058945, 5.272449126858131
213.22601441125255, 5.229326021070861
213.2205162592499, 5.1969836917304075
213.2095199552446, 5.1322990330495015
214.3916226358167, 4.798094963198152
214.38612448381406, 4.765752633857699
214.96526316142769, 4.528575552027709
215.91735981655515, 4.66333525761293
215.56639444705195, 4.420767787559532
216.2719906207268, 4.927464280559965
216.2646597513899, 4.884341174772693
216.257328882053, 4.841218068985423
216.24999801271613, 4.798094963198152
216.24266714337926, 4.754971857410881
216.23533627404237, 4.71184875162361
216.22067453536863, 4.625602540049068
216.21517638336596, 4.593260210708616
216.20601279669484, 4.539356328474527
216.19868192735797, 4.4962332226872554
217.56955449335476, 5.272449126858131
217.5640563413521, 5.2401067975176785
218.6710176112212, 4.463890893346802
219.85678572646174, 4.151248376389089
219.84945485712487, 4.108125270601818
221.19283666310838, 4.722629528070428
221.15434959908976, 4.4962332226872554
221.1488514470871, 4.463890893346802
222.26375449207114, 4.9490258334536
222.1513478289056, 4.895121951219512
222.14401695956875, 4.851998845432241
222.13668609023188, 4.80887573964497
222.12935522089498, 4.765752633857699
223.0493793226736, 4.71184875162361
223.04204845333672, 4.668725645836339
223.03471758399985, 4.625602540049068
223.02738671466295, 4.582479434261797
223.02005584532606, 4.539356328474527
223.0127249759892, 4.4962332226872554
223.00539410665232, 4.453110116899985
222.99989595464965, 4.420767787559532
223.5643728935895, 4.097344494155
224.71348666214567, 3.569086448260932
225.0140523049578, 3.5151825660268434
225.00672143562093, 3.4720594602395725
224.99939056628403, 3.4289363544523015
225.94507271074173, 3.525963342473661
225.93774184140486, 3.48284023668639
225.930410972068, 3.439717130899119
225.9249128200653, 3.4073748015586665
227.04103767660547, 4.507013999134074
227.03187408993438, 4.453110116899985
227.0245432205975, 4.4099870111127135
227.01721235126064, 4.366863905325443
227.00988148192374, 4.3237407995381725
227.00255061258684, 4.2806176937509015
226.99521974324998, 4.2374945879636305
226.9878888739131, 4.19437148217636
226.9805580045762, 4.151248376389089
226.97414349390644, 4.113515658825227
226.6250108417375, 3.8817289652186453
226.6158472550664, 3.827825082984557
226.6085163857295, 3.784701977197286
226.60301823372686, 3.7523596478568333
226.59385464705574, 3.698455765622745
226.58652377771887, 3.655332659835474
226.57919290838197, 3.612209554048203
227.843767868994, 3.763140424303651
227.83826971699133, 3.7307980949631974
227.83093884765447, 3.6876749891759264
227.82177526098337, 3.633771106941838
227.81444439164648, 3.590648001154567
227.80711352230958, 3.547524895367296
227.7997826529727, 3.504401789580026
227.79245178363584, 3.461278683792755
227.78512091429894, 3.418155578005484
227.77412461029363, 3.353470919324577
227.76679374095676, 3.310347813537306
227.76129558895408, 3.2780054841968536
228.35143057057303, 3.1055130610477697
229.82493530728618, 2.6635012267282434
229.8176044379493, 2.6203781209409724
229.81027356861244, 2.5772550151537015
229.80294269927555, 2.5341319093664305
229.79652818860578, 2.4963991918025688
230.098010190085, 2.4478856977918886
230.0906793207481, 2.4047625920046176
230.08518116874546, 2.372420262664165
230.7376285397279, 2.566474238706884
231.42856297472898, 2.986924520132775
231.4212321053921, 2.9438014143455042
231.4139012360552, 2.9006783085582333
231.71629959620157, 2.8575552027709623
231.70805236819757, 2.809041708760282
231.39190862804458, 2.7713089911964204
231.38457775870768, 2.7281858854091494
231.3772468893708, 2.6850627796218784
231.36991602003394, 2.6419396738346075
231.36441786803127, 2.609597344494155
232.6198292419722, 2.7066243325155144
232.61249837263534, 2.6635012267282434
232.9148967327817, 2.6203781209409724
232.9084822221119, 2.5826454033771107
232.9002349941079, 2.5341319093664305
233.2044660715885, 2.501789580025977
233.80376463987852, 2.3832010391109826
233.79643377054165, 2.3400779333237116
233.78910290120479, 2.2969548275364406
233.7817720318679, 2.2538317217491697
233.77444116253102, 2.2107086159618987
233.76711029319415, 2.1675855101746277
233.75977942385725, 2.1244624043873577
233.75244855452036, 2.0813392986000867
234.6009966802644, 1.606985134940107
234.59366581092752, 1.563862029152836
234.58633494159062, 1.520738923365565
234.57900407225375, 1.477615817578294
234.57167320291688, 1.4344927117910231
234.56434233358, 1.3913696060037521
234.5570114642431, 1.3482465002164812
234.54968059490622, 1.3051233944292102
234.54234972556935, 1.2620002886419392
234.8465808030499, 1.2296579593014867
235.83808088086312, 1.5962043584932886
236.4758665131718, 1.7040121229614664
236.4685356438349, 1.6608890171741955
236.46120477449804, 1.6177659113869245
